English Sentence,Korean Pronounce,Direct Comprehension
Oh! I'm late.,오! 아임 레이트.,오 / 나는 / 늦었어
It's time to go home.,잇츠 타임 투 고우 홈.,시간이야 / 집에 갈
What time is it now?,왓 타임 이즈 잇 나우?,몇 시니 / 지금
It's already four forty.,잇츠 올레디 포 포티.,벌써 / 4시 40분이야
I'm sorry.,아임 쏘리.,미안합니다
I'm late.,아임 레이트.,나는 / 늦었어
That's OK.,댓츠 오케이.,괜찮아
I'm sorry to have kept you waiting.,아임 쏘리 투 해브 켑트 유 웨이팅.,미안해 / 기다리게 해서 / 너를
That's all right.,댓츠 올 라이트.,괜찮아
Are you ready to go?,아 유 레디 투 고우?,준비 됐니 / 갈
"Yes, I am. / No, I'm not.","예스, 아이 엠. / 노우, 아임 낫.",응 / 그래 / 아니 / 그렇지 않아
I'll be ready in a few minutes.,아일 비 레디 인 어 퓨 미닛츠.,준비될 거야 / 조금만 더 기다리면
Take your time.,테이크 유어 타임.,천천히 해
Hurry up!,허리 업!,서둘러!
There's no time to lose.,데어즈 노우 타임 투 루즈.,없어 / 기다릴 / 시간이
OK. It won't be long.,오케이. 잇 원트 비 롱.,알았어 / 오래 걸리지 않을 거야
Who's she?,후즈 쉬?,누구니 / 그녀는
She's my grandmother.,쉬즈 마이 그랜드머더.,그녀는 / 나의 / 할머니야
She's old.,쉬즈 올드.,그녀는 / 연세가 있어
Who is this?,후 이즈 디스?,누구니 / 이 사람은
He's my teacher.,히즈 마이 티처.,그는 / 나의 / 선생님이야
Who's this girl?,후즈 디스 걸?,누구니 / 이 소녀는
She's my sister.,쉬즈 마이 씨스터.,그녀는 / 나의 / 여동생이야
Who are they?,후 아 데이?,누구니 / 그들은
They're students.,데이어 스튜던츠.,그들은 / 학생들이야
Is he a teacher?,이즈 히 어 티처?,선생님이니 / 그는
"Yes, he is. / No, he is not.","예스, 히 이즈. / 노우, 히 이즈 낫.",응 / 그래 / 아니 / 그렇지 않아
Are they cooks?,아 데이 쿡스?,요리사들이니 / 그들은
"Yes, they are. / No, they are not.","예스, 데이 아. / 노우, 데이 아 낫.",응 / 그래 / 아니 / 그렇지 않아
Does your mother work?,더즈 유어 마더 워크?,일하니 / 너의 / 어머니는
"Yes, she does.","예스, 쉬 더즈.",응 / 그래
She's a teacher.,쉬즈 어 티처.,그녀는 / 선생님이야
Is she a nurse?,이즈 쉬 어 너스?,간호사니 / 그녀는
"No, she is not. She's a cook.","노우, 쉬 이즈 낫. 쉬즈 어 쿡.",아니 / 그렇지 않아 / 그녀는 / 요리사야
Really? Where does she work?,리얼리? 웨어 더즈 쉬 워크?,정말이야 / 어디서 / 일하니 / 그녀는
She works at Kim's restaurant.,쉬 워크스 앳 킴스 레스터란트.,그녀는 / 일해 / 김가네 식당에서
Are they farmers?,아 데이 파머즈?,농부니 / 그들은
"Yes, they are.","예스, 데이 아.",응 / 그래
Where do they live?,웨어 두 데이 리브?,어디서 / 사니 / 그들은
They live in the countryside.,데이 리브 인 더 컨트리사이드.,그들은 / 살아 / 시골에서
Let's go skiing together.,렛츠 고우 스키잉 투게더.,가자 / 스키 타러 / 함께
Wow! That would be great.,와우! 댓 우드 비 그레이트.,와우 / 그거 / 좋겠다
"But, I can't ski well.","벗, 아이 캔트 스키 웰.",근데 / 나는 / 못 타 / 스키를 / 잘
Come on. I'll help you.,컴 온. 아일 헬프 유.,오 이런 / 내가 / 도와줄게 / 너를
Are they police officers?,아 데이 펄리스 오피서즈?,경찰이니 / 그들은
"No, they are not.","노우, 데이 아 낫.",아니 / 그들은 / 그렇지 않아
They're taxi drivers.,데이어 택시 드라이버즈.,그들은 / 이야 / 택시 운전기사
What does your father do?,왓 더즈 유어 파더 두?,무슨 일을 하니 / 너의 / 아버지는
He's a pilot.,히즈 어 파일럿.,그는 / 조종사야
What do you do?,왓 두 유 두?,무슨 일을 하니 / 너는
I'm a doctor.,아임 어 닥터.,나는 / 의사야
What do you usually do?,왓 두 유 유주얼리 두?,주로 / 무슨 일을 하니 / 너는
I help sick people.,아이 헬프 씩 피플.,나는 / 도와 / 아픈 / 사람들을
Where do you work?,웨어 두 유 워크?,어디서 / 일하니 / 너는
I work in the clinic.,아이 워크 인 더 클리닉.,나는 / 일해 / 병원에서
Where do you live? I live in Seoul.,웨어 두 유 리브? 아이 리브 인 서울.,어디서 / 사니 / 나는 / 살아 / 서울에서
What's your address?,왓츠 유어 어드레스?,무엇이니 / 너의 / 주소가
It's seventeen North Street.,잇츠 쎄븐틴 노어쓰 스트리트.,17 / North Street / 이야
What's your telephone number?,왓츠 유어 텔리폰 넘버?,무엇이니 / 너의 / 전화번호가
It's five nine two two seven two eight.,잇츠 파이브 나인 투 투 쎄븐 투 에잇.,592-2728 / 이야
What's your hobby?,왓츠 유어 하비?,무엇이니 / 너의 / 취미가
I like listening to music.,아이 라이크 리스닝 투 뮤직.,나는 / 좋아해 / 듣는 것을 / 음악을
Where are you going?,웨어 아 유 고잉?,어디에 / 가니 / 너는
I'm going to the park.,아임 고잉 투 더 파크.,나는 / 가고 있어 / 공원에
How do you get there?,하우 두 유 겟 데어?,어떻게 / 가니 / 거기에
I walk there.,아이 워크 데어.,나는 / 걸어서 / 가
Are you good at mathematics?,아 유 굿 앳 매써매틱스?,잘하니 / 너는 / 수학을
"No, I'm poor at mathematics.","노우, 아임 푸어 앳 매써매틱스.",아니 / 나는 / 서툴러 / 수학에
But I'm good at English.,벗 아임 굿 앳 잉글리쉬.,그렇지만 / 나는 / 잘해 / 영어를
What subjects are you good at?,왓 섭젝츠 아 유 굿 앳?,무슨 / 과목을 / 잘하니 / 너는
I'm good at science and math.,아임 굿 앳 사이언스 앤드 매쓰.,나는 / 잘해 / 과학과 / 수학을
I'm not good at sports.,아임 낫 굿 앳 스포츠.,나는 / 못해 / 운동을
I'm very unhappy about this.,아임 베리 언해피 어바웃 디스.,나는 / 매우 / 불만스러워 / 이점에 대해
"Oh, come on! Don't say that!","오, 컴 온! 돈트 세이 댓!",오 이런 / 그런 말 / 하지마!
"You are good at mathematics, aren't you?","유 아 굿 앳 매써매틱스, 아런트 유?",너는 / 잘하잖아 / 수학을 / 그렇지 않니
"Yes, I'm good at mathematics.","예스, 아임 굿 앳 매써매틱스.",응 / 나는 / 잘해 / 수학을
What's wrong?,왓츠 롱?,무슨 / 일이니
I'm not happy with my appearance.,아임 낫 해피 위드 마이 어피어런스.,나는 / 만족하지 않아 / 나의 / 외모가
Come on. What do you mean?,컴 온. 왓 두 유 민?,오 이런 / 무슨 / 뜻이야
I'm too short.,아임 투 쇼트.,나는 / 너무 / 작아
Are you interested in collecting stamps?,아 유 인터레스티드 인 컬렉팅 스탬프스?,관심있니 / 너는 / 우표 수집에
Yeah. I'm interested in collecting stamps.,예아. 아임 인터레스티드 인 컬렉팅 스탬프스.,그래 / 나는 / 관심있어 / 우표 수집에
I like it a lot.,아이 라이크 잇 어 랏.,나는 / 좋아해 / 그것을 / 정말
No. I'm not interested in collecting stamps.,노우. 아임 낫 인터레스티드 인 컬렉팅 스탬프스.,아니 / 나는 / 관심없어 / 우표 수집에
How was the final exam?,하우 워즈 더 파이널 이그잼?,어땠니 / 기말고사가
It didn't go well.,잇 디든트 고우 웰.,잘 / 보지 못했어
I hope everything goes well next time.,아이 홉 에브리씽 고우즈 웰 넥스트 타임.,바라 / 다 잘 되기를 / 다음 번에
Thank you.,땡큐.,고마워
I passed the exam.,아이 패스트 디 이그잼.,나는 / 합격했어 / 시험에
I'm so happy to hear that.,아임 쏘우 해피 투 히어 댓.,나는 / 너무 기뻐 / 그 말을 들으니
What elementary school did you graduate from?,왓 엘리멘터리 스쿨 디쥬 그래쥬에이트 프롬?,어느 / 초등학교를 / 졸업했니 / 너는
I graduated from Ichthus Elementary School.,아이 그래쥬에이티드 프롬 익투스 엘리멘터리 스쿨.,나는 / 졸업했어 / 익투스 초등학교를
What middle school do you go to?,왓 미들 스쿨 두 유 고우 투?,어느 / 중학교에 / 다니니 / 너는
I go to Ichthus Middle School.,아이 고우 투 익투스 미들 스쿨.,나는 / 다녀 / 익투스 중학교에
What university did you graduate from?,왓 유니버시티 디쥬 그래쥬에이트 프롬?,어느 / 대학을 / 나왔니 / 너는
I graduated from Harvard.,아이 그래쥬에이티드 프롬 하버드.,나는 / 졸업했어 / 하버드를
What grade are you in?,왓 그레이드 아 유 인?,몇 / 학년이니 / 너는
I'm in the second grade.,아임 인 더 쎄컨드 그레이드.,나는 / 2학년이야
Congratulations!,컨그래쥴레이션스!,축하해!
Thank you!,땡큐!,고마워!
What middle school are you going to?,왓 미들 스쿨 아 유 고잉 투?,어느 / 중학교에 / 갈 예정이니 / 너는
Ichthus Middle School.,익투스 미들 스쿨.,익투스 / 중학교
Guess what!,게스 왓!,맞춰봐 / 무엇인지!
What?,왓?,뭔데?
I won a race!,아이 원 어 레이스!,나는 / 이겼어 / 경주에서!
Are you serious?,아 유 씨리어스?,진담이니
"Yes, I am.","예스, 아이 엠.",응 / 그래
"No, I'm just kidding.","노우, 아임 저스트 키딩.",아니 / 단지 / 농담이야
What happened?,왓 해펀드?,무슨 / 일이니
I broke a window.,아이 브로우크 어 윈도우.,나는 / 깨뜨렸어 / 창문을
I'm afraid I cut my finger.,아임 어프레이드 아이 컷 마이 핑거.,것 같아 / 벤 / 손가락을
I think you should see a doctor.,아이 씽크 유 슈드 씨 어 닥터.,내 생각에 / 너는 / 받아야 / 진찰을
You know what?,유 노우 왓?,그거 / 아니
What?,왓?,뭔데?
Plants can listen to music.,플랜츠 캔 리슨 투 뮤직.,식물이 / 할 수 있대 / 들을 / 음악을
Wow! That's really surprising.,와우! 댓츠 리얼리 써프라이징.,야 / 그거 / 정말 / 놀랍구나
Let's play soccer.,렛츠 플레이 싸커.,하자 / 축구를
"OK. / Sorry, I can't.","오케이. / 쏘리, 아이 캔트.",좋아 / 미안해 / 할 수 없어
Can you join us?,캔 유 조인 어스?,할 수 있니 / 함께 / 우리와
"Sure, I can. / Sorry, I can't. I must go home.","슈어, 아이 캔. / 쏘리, 아이 캔트. 아이 머스트 고우 홈.",당연하지 / 미안해 / 할 수 없어 / 가야 해 / 집에
Can you play with us tomorrow?,캔 유 플레이 위드 어스 투모로우?,놀 수 있니 / 우리와 / 내일
"Yes, I can.","예스, 아이 캔.",응 / 할 수 있어
"Sorry, I can't. I'm busy.","쏘리, 아이 캔트. 아임 비지.",미안해 / 할 수 없어 / 나는 / 바빠
I have a piano lesson tomorrow.,아이 해브 어 피애노우 레슨 투모로우.,나는 / 있어 / 피아노 수업이 / 내일
Let's go swimming.,렛츠 고우 스위밍.,가자 / 수영하러
Sounds good.,사운즈 굿.,좋은 / 생각이야
How about this afternoon?,하우 어바웃 디스 애프터눈?,어때 / 오늘 오후는
Sounds good.,사운즈 굿.,좋은 / 생각이야
Let's go fishing this afternoon.,렛츠 고우 피슁 디스 애프터눈.,가자 / 낚시하러 / 오늘 오후에
Sounds good.,사운즈 굿.,좋은 / 생각이야
What time shall we make it?,왓 타임 쉘 위 메이크 잇?,몇 시에 / 만날까 / 우리는
How about three o'clock?,하우 어바웃 쓰리 어클락?,어때 / 3시는
OK.,오케이.,좋아
Are you all right?,아 유 올 라이트?,괜찮니 / 너는
"Yes, I'm all right.","예스, 아임 올 라이트.",응 / 나는 / 괜찮아
"No, I'm sick.","노우, 아임 씩.",아니 / 나는 / 아파
What's the matter with you?,왓츠 더 매터 위드 유?,무슨 / 일이니 / 너는
I have a fever.,아이 해브 어 피버.,나는 / 있어 / 열이
That's too bad.,댓츠 투 배드.,그것 / 참 / 안됐구나
My cousin is coming from Seoul tomorrow.,마이 커즌 이즈 커밍 프롬 서울 투모로우.,내 / 사촌이 / 온다 / 서울에서 / 내일
I'm going to go to the airport.,아임 고잉 투 고우 투 디 에어포트.,나는 / 갈 예정이야 / 공항으로
Really? Can I join you?,리얼리? 캔 아이 조인 유?,정말 / 갈 수 있을까 / 나도 / 같이
"Yes, I can.","예스, 아이 캔.",당연하지
What time shall we make it?,왓 타임 쉘 위 메이크 잇?,몇 시에 / 만날까 / 우리는
How about three o'clock?,하우 어바웃 쓰리 어클락?,어때 / 3시는
OK. Let's meet at my house.,오케이. 렛츠 밋 앳 마이 하우스.,좋아 / 보자 / 내 집에서
"Mr. Johnson, Mary can't go to school today.","미스터 죤슨, 메리 캔트 고우 투 스쿨 투데이.",죤슨 선생님 / 메리는 / 갈 수 없어요 / 학교에 / 오늘
Why not?,와이 낫?,왜요?
Because she's sick.,비코즈 쉬즈 씩.,왜냐하면 / 그녀는 / 아파요
She has a bad cold.,쉬 해즈 어 배드 콜드.,그녀는 / 걸렸어요 / 독감에
That's too bad.,댓츠 투 배드.,그것 / 참 / 안됐구나
Why did you stay home?,와이 디쥬 스테이 홈?,왜 / 있었니 / 너는 / 집에
Because I had a cold.,비코즈 아이 해드 어 콜드.,왜냐하면 / 나는 / 걸렸었거든 / 감기에
I have an appointment with Dr. Johnson at two o'clock.,아이 해브 언 어포인트먼트 위드 닥터 죤슨 앳 투 어클락.,나는 / 있어요 / 약속이 / 죤슨 박사님과 / 2시에
"Please, have a seat.","플리즈, 해브 어 씻.",제발 / 앉아 주세요
I'm hungry.,아임 헝그리.,나는 / 배고파
It's time for lunch.,잇츠 타임 포 런치.,시간이야 / 점심 먹을
Let's have lunch.,렛츠 해브 런치.,먹자 / 점심을
What's for lunch?,왓츠 포 런치?,무엇이니 / 점심은
It's Spaghetti.,잇츠 스파게티.,스파게티야
Help yourself.,헬프 유어셀프.,많이 먹어
Thank you.,땡큐.,고마워
Go ahead.,고우 어헤드.,자 / 어서
Here's your lunch.,히어즈 유어 런치.,여기 / 너의 / 점심이야
Thank you.,땡큐.,고마워
Make yourself at home.,메이크 유어셀프 앳 홈.,편하게 있어 / 집처럼
Thank you!,땡큐!,고마워!
Can I have some water?,캔 아이 해브 썸 워터?,마실 수 있을까 / 물 좀
Sure. Here you are.,슈어. 히어 유 아.,물론이지 / 여기 있어
Thank you. How kind of you!,땡큐. 하우 카인드 오브 유!,고마워 / 참 / 친절하구나!
"Pass me the salt, please.","패스 미 더 쏠트, 플리즈.",건네줘 / 나에게 / 소금을 / 제발
Here you are.,히어 유 아.,여기 있어
What do you want to eat?,왓 두 유 원트 투 잇?,무엇을 / 먹고 싶니 / 너는
I want milk.,아이 원트 밀크.,나는 / 원해 / 우유를
Would you like to come to my house?,우쥬 라이크 투 컴 투 마이 하우스?,오고 싶니 / 우리 집에
"Yes, I'd love to.","예스, 아이드 러브 투.",응 / 그러고 싶어
Next Thursday is Thanksgiving Day.,넥스트 써즈데이 이즈 땡크스기빙 데이.,다음주 / 목요일은 / 추수감사절이야
Thanksgiving Day?,땡크스기빙 데이?,추수감사절?
Yes. Would you like to come to my house?,예스. 우쥬 라이크 투 컴 투 마이 하우스?,응 / 오고 싶니 / 우리 집에
"Yes, I'd love to.","예스, 아이드 러브 투.",응 / 그러고 싶어
Would you like to come to my house for dinner?,우쥬 라이크 투 컴 투 마이 하우스 포 디너?,오시겠어요 / 우리 집에 / 저녁 드시러
Thank you. That's very kind of you.,땡큐. 댓츠 베리 카인드 오브 유.,고마워요 / 참 / 친절하시군요
Would you like to go to a concert this weekend?,우쥬 라이크 투 고우 투 어 컨서트 디스 위켄드?,가시겠어요 / 음악회에 / 이번 주말에
"I'd love to, but I have to take care of my sister.","아이드 러브 투, 벗 아이 해브 투 테이크 케어 오브 마이 씨스터.",그러고 싶지만 / 돌봐야 해요 / 여동생을
OK. Maybe next time.,오케이. 메이비 넥스트 타임.,좋아요 / 아마 / 다음에
Would you like to go to the movies this Saturday?,우쥬 라이크 투 고우 투 더 무비즈 디스 쌔터데이?,가시겠어요 / 영화 보러 / 이번 토요일에
"I'd love to, but I can't. I have to visit my grandmother with my family.","아이드 러브 투, 벗 아이 캔트. 아이 해브 투 비짓 마이 그랜드머더 위드 마이 패밀리.",그러고 싶지만 / 안돼요 / 방문해야 해요 / 할머니를 / 가족과 함께
Do you usually spend weekends with your family?,두 유 유주얼리 스펜드 위켄즈 위드 유어 패밀리?,보내니 / 주로 / 주말을 / 가족과 함께
"Yes, I do. I have a great time with them.","예스, 아이 두. 아이 해브 어 그레이트 타임 위드 뎀.",응 / 좋은 시간을 / 보내 / 그들과
I envy you.,아이 엔비 유.,나는 / 부러워 / 너가
What are you doing?,왓 아 유 두잉?,무엇을 / 하고 있니 / 너는
I'm drawing a picture.,아임 드로잉 어 픽처.,나는 / 그리고 있어 / 그림을
Is it fun?,이즈 잇 펀?,재미있니 / 그것이
Yes. Would you like to join me?,예스. 우쥬 라이크 투 조인 미?,응 / 하시겠어요 / 같이 / 저랑
Sure. I'd love to.,슈어. 아이드 러브 투.,그럼요 / 좋습니다
Would you like to come to my birthday party?,우쥬 라이크 투 컴 투 마이 버얼쓰데이 파티?,오시겠어요 / 내 / 생일 파티에
"Oh, don't take off your shoes.","오, 돈트 테이크 오프 유어 슈즈.",오 / 벗지 마 / 너의 / 신발을
Don't take off your hat.,돈트 테이크 오프 유어 햇.,벗지마 / 너의 / 모자를
Put on your shoes.,풋 온 유어 슈즈.,신어 / 너의 / 신발을
OK.,오케이.,알았어
Did you take off your coat?,디쥬 테이크 오프 유어 코우트?,벗었니 / 너는 / 코트를
"Yes, I took it off.","예스, 아이 툭 잇 오프.",응 / 나는 / 벗었어 / 그것을
"No, I didn't take it off.","노우, 아이 디든트 테이크 잇 오프.",아니 / 나는 / 안 벗었어 / 그것을
What do you want?,왓 두 유 원트?,무엇을 / 원하니 / 너는
"I want a watch, please.","아이 원트 어 워치, 플리즈.",나는 / 원해요 / 시계를
Here you are.,히어 유 아.,여기 있어요
Thank you.,땡큐.,고마워요
You're welcome.,유어 웰컴.,천만에요
Can I help you?,캔 아이 헬프 유?,도와드릴까요
"Yes, please.","예스, 플리즈.",예 / 부탁해요
How much is it?,하우 머치 이즈 잇?,얼마에요 / 그것은
It's two hundred dollars.,잇츠 투 헌드레드 달러즈.,그것은 / 200달러입니다
Can I help you?,캔 아이 헬프 유?,도와드릴까요
"Yes, please.","예스, 플리즈.",예 / 부탁해요
I'm looking for a pair of shoes.,아임 루킹 포 어 페어 오브 슈즈.,나는 / 찾고 있어요 / 신발을
Can I try this on?,캔 아이 트라이 디스 온?,입어봐도 될까요 / 이것을
Sure.,슈어.,그럼요
"Come this way, please.","컴 디스 웨이, 플리즈.",오세요 / 이쪽으로
What do you want to buy for your mother?,왓 두 유 원트 투 바이 포 유어 마더?,무엇을 / 사드리고 싶니 / 너의 / 어머니께
I want to buy a handkerchief for my mother.,아이 원트 투 바이 어 핸커치프 포 마이 마더.,나는 / 사고 싶어 / 손수건을 / 어머니께
How about this scarf?,하우 어바웃 디스 스카프?,어때 / 이 스카프는
That's good.,댓츠 굿.,그거 / 좋아
"No, that's not good.","노우, 댓츠 낫 굿.",아니 / 그것은 / 좋지 않아
What shall we buy for Mary?,왓 쉘 위 바이 포 메리?,무엇을 / 살까 / 우리는 / 메리를 위해서
How about a doll?,하우 어바웃 어 돌?,어때 / 인형은
Good idea.,굿 아이디어.,좋은 / 생각이야
I'm sure she'll like it.,아임 슈어 쉴 라이크 잇.,나는 / 확신해 / 그녀가 / 좋아할 거라고
What are you going to buy for your father?,왓 아 유 고잉 투 바이 포 유어 파더?,무엇을 / 사드릴 예정이니 / 너의 / 아버지께
I am going to buy a tie for him.,아이 엠 고잉 투 바이 어 타이 포 힘.,나는 / 살 예정이야 / 넥타이를 / 아버지께
What are you going to buy for your grandfather?,왓 아 유 고잉 투 바이 포 유어 그랜드파더?,무엇을 / 사드릴 예정이니 / 너의 / 할아버지께
Here's something for you.,히어즈 썸씽 포 유.,여기 / 있어 / 줄 게 / 너에게
I hope you like it.,아이 홉 유 라이크 잇.,바라 / 네가 / 맘에 들기를 / 그것이
Thank you.,땡큐.,고마워
I've always wanted this kind of doll.,아이브 올웨이즈 원티드 디스 카인드 오브 돌.,나는 / 항상 / 원했어 / 이런 종류의 / 인형을
I'm glad you like it.,아임 글래드 유 라이크 잇.,기뻐 / 네가 / 맘에 들어 해서 / 그것을
This watch is very nice.,디스 워치 이즈 베리 나이스.,이 / 시계는 / 매우 / 멋있어
Don't you think so?,돈트 유 씽크 쏘우?,생각지 않니 / 너도 / 그렇게
"Yes, I think so, too.","예스, 아이 씽크 쏘우, 투.",응 / 나도 / 생각해 / 그렇게
This shirt is very nice.,디스 셔트 이즈 베리 나이스.,이 / 셔츠가 / 매우 / 멋있어
You look great.,유 룩 그레이트.,너 / 멋있어 / 보인다
Thank you.,땡큐.,고마워
So do you.,쏘우 두 유.,너도 / 그래
Your jacket looks good on you.,유어 재킷 룩스 굿 온 유.,너의 / 재킷이 / 잘 어울려 / 너에게
Thank you.,땡큐.,고마워
You look so beautiful in your dress.,유 룩 쏘우 뷰티풀 인 유어 드레스.,너 / 굉장히 아름다워 / 보인다 / 드레스를 입으니
Thank you.,땡큐.,고마워
What's the matter?,왓츠 더 매터?,무슨 / 일이니
I'm sick.,아임 씩.,나는 / 아파
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에
What's the matter?,왓츠 더 매터?,무슨 / 일이니
I have a fever.,아이 해브 어 피버.,나는 / 있어 / 열이
Try this every eight hours.,트라이 디스 에브리 에잇 아워즈.,먹어봐 / 이것을 / 8시간마다
Try this every thirty minutes.,트라이 디스 에브리 써티 미닛츠.,먹어봐 / 이것을 / 30분마다
Take this medicine.,테이크 디스 메디신.,먹어라 / 이 / 약을
What's the matter with you?,왓츠 더 매터 위드 유?,무슨 / 일이니 / 너는
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에
I'll miss you.,아일 미스 유.,나는 / 보고 싶을 거야 / 너가
"I'll miss you, too.","아일 미스 유, 투.",나도 / 보고 싶을 거야 / 너가
Come and visit me sometime.,컴 앤드 비짓 미 썸타임.,와서 / 방문해줘 / 나를 / 언젠가
OK. That would be fun.,오케이. 댓 우드 비 펀.,좋아 / 그거 / 재미있겠구나
Say hello to your family.,세이 헬로우 투 유어 패밀리.,안부 전해줘 / 너의 / 가족에게
Say hello to your parents.,세이 헬로우 투 유어 페어런츠.,안부 전해줘 / 너의 / 부모님께
Say hello to your sister.,세이 헬로우 투 유어 씨스터.,안부 전해줘 / 너의 / 여동생에게
OK. I will.,오케이. 아이 윌.,좋아 / 그럴게
Good-bye.,굿 바이.,잘 있어
